NumericID,Name_Master,configID,Name_Config,name,Category,SubCategory
DETAIL-001965,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-dehp-waste-incineration-with-electricity,DEHP waste incineration with electricity,DEHP waste incineration with electricity,Processing,Waste treatment
DETAIL-001966,Packaging end-of-life,packaging-end-of-life-film-ps-shrink-50-mu-in-mun-waste-inc,Film PS (shrink) 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001967,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-dinp-waste-incineration-with-electricity,DINP waste incineration with electricity,DINP waste incineration with electricity,Processing,Waste treatment
DETAIL-001968,Packaging end-of-life,packaging-end-of-life-film-pvc-stiff-shrink-50-mu-in-mun-waste-inc,"Film PVC (stiff, shrink) 50 mu in mun waste inc",,Processing,Waste treatment
DETAIL-001969,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-evoh-waste-incineration-with-electricity,EVOH waste incineration with electricity,EVOH waste incineration with electricity,Processing,Waste treatment
DETAIL-001970,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-pvoh-waste-incineration-with-electricity,PVOH waste incineration with electricity,PVOH waste incineration with electricity,Processing,Waste treatment
DETAIL-001971,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-pps-waste-incineration-with-electricity,PPS waste incineration with electricity,PPS waste incineration with electricity,Processing,Waste treatment
DETAIL-001972,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-epoxies-waste-incineration-with-electricity,Epoxies waste incineration with electricity,Epoxies waste incineration with electricity,Processing,Waste treatment
DETAIL-001973,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-phenolics-bakelite-waste-incineration-with-electricity,Phenolics (Bakelite) waste incineration with electricity,Phenolics (Bakelite) waste incineration with electricity,Processing,Waste treatment
DETAIL-001974,Municipal waste incineration with electricity,municipal-waste-incineration-with-electricity-polyester-waste-incineration-with-electricity,Polyester waste incineration with electricity,Polyester waste incineration with electricity,Processing,Waste treatment
DETAIL-001975,Packaging end-of-life,packaging-end-of-life-film-hdpe-50-mu-in-power-plant,Film HDPE 50 mu in power plant,,Processing,Waste treatment
DETAIL-001976,Packaging end-of-life,packaging-end-of-life-film-ldpe-50-mu-in-power-plant,Film LDPE 50 mu in power plant,,Processing,Waste treatment
DETAIL-001977,Packaging end-of-life,packaging-end-of-life-film-pc-50-mu-in-power-plant,Film PC 50 mu in power plant,,Processing,Waste treatment
DETAIL-001978,Packaging end-of-life,packaging-end-of-life-film-petpe+evoh+pe-62-mu-in-power-plant,Film PET / PE+EVOH+PE 62 mu in power plant,,Processing,Waste treatment
DETAIL-001982,Packaging end-of-life,packaging-end-of-life-film-pet-50-mu-in-power-plant,Film PET 50 mu in power plant,,Processing,Waste treatment
DETAIL-001983,Packaging end-of-life,packaging-end-of-life-film-pet+aloxldpe-62-mu-in-power-plant,Film PET+ALOx / LDPE 62 mu in power plant,,Processing,Waste treatment
DETAIL-001984,Packaging end-of-life,packaging-end-of-life-film-pet+pvohldpe-62-mu-in-power-plant,Film PET+PVOH / LDPE 62 mu in power plant,,Processing,Waste treatment
DETAIL-001985,Packaging end-of-life,packaging-end-of-life-film-pla-biobased-50-mu-in-power-plant,Film PLA (biobased) 50 mu in power plant,,Processing,Waste treatment
DETAIL-001986,Packaging end-of-life,packaging-end-of-life-film-pp-50-mu-in-power-plant,Film PP 50 mu in power plant,,Processing,Waste treatment
DETAIL-001987,Packaging end-of-life,packaging-end-of-life-film-pp+pvdc-62-mu-in-power-plant,Film PP+PVDC 62 mu in power plant,,Processing,Waste treatment
DETAIL-001988,Packaging end-of-life,packaging-end-of-life-film-ps-shrink-50-mu-in-power-plant,Film PS (shrink) 50 mu in power plant,,Processing,Waste treatment
DETAIL-001989,Packaging end-of-life,packaging-end-of-life-film-pvc-stiff-shrink-50-mu-in-power-plant,"Film PVC (stiff, shrink) 50 mu in power plant",,Processing,Waste treatment
DETAIL-001990,Packaging end-of-life,packaging-end-of-life-film-hdpe-50-mu-in-mun-waste-inc,Film HDPE 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001991,Packaging end-of-life,packaging-end-of-life-film-ldpe-50-mu-in-mun-waste-inc,Film LDPE 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001992,Packaging end-of-life,packaging-end-of-life-film-pc-50-mu-in-mun-waste-inc,Film PC 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001993,Packaging end-of-life,packaging-end-of-life-film-petpe+evoh+pe-62-mu-in-mun-waste-inc,Film PET / PE+EVOH+PE 62 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001994,Packaging end-of-life,packaging-end-of-life-film-pet-50-mu-in-mun-waste-inc,Film PET 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001995,Packaging end-of-life,packaging-end-of-life-film-pet+aloxldpe-62-mu-in-mun-waste-inc,Film PET+ALOx / LDPE 62 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001996,Packaging end-of-life,packaging-end-of-life-film-pet+pvohldpe-62-mu-in-mun-waste-inc,Film PET+PVOH / LDPE 62 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001997,Packaging end-of-life,packaging-end-of-life-film-pla-biobased-50-mu-in-mun-waste-inc,Film PLA (biobased) 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001998,Packaging end-of-life,packaging-end-of-life-film-pp-50-mu-in-mun-waste-inc,Film PP 50 mu in mun waste inc,,Processing,Waste treatment
DETAIL-001999,Recycling credit metals,recycling-credit-metals-aluminium-recycling-credit-closed-loop-66%-virgin-part-market-mix,"Aluminium, recycling credit closed loop (66% virgin part market mix)",,Processing,Waste treatment
DETAIL-002000,Recycling credit metals,recycling-credit-metals-copper-recycling-credit-closed-loop-56%-virgin-part-in-market-mix,"Copper, recycling credit closed loop (56% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002001,Recycling credit metals,recycling-credit-metals-gold-recycling-credit-closed-loop-47%-virgin-part-market-mix,"Gold, recycling credit closed loop (47% virgin part market mix)",,Processing,Waste treatment
DETAIL-002002,Recycling credit metals,recycling-credit-metals-lead-recycling-credit-closed-loop-25%-virgin-part-in-market-mix,"Lead, recycling credit closed loop (25% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002003,Recycling credit metals,recycling-credit-metals-magnesium-recycling-credit-closed-loop-57%-virgin-part-in-market-mix,"Magnesium, recycling credit closed loop (57% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002004,Recycling credit metals,recycling-credit-metals-nickel-recycling-credit-closed-loop-70%-virgin-part-in-market-mix,"Nickel, recycling credit closed loop (70% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002005,Recycling credit metals,recycling-credit-metals-silver-recycling-credit-closed-loop-34%-virgin-part-market-mix,"Silver, recycling credit closed loop (34% virgin part market mix)",,Processing,Waste treatment
DETAIL-002006,Recycling credit metals,recycling-credit-metals-steel-recycling-credit-closed-loop-56%-virgin-part-in-market-mix,"Steel, recycling credit closed loop (56% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002007,Recycling credit metals,recycling-credit-metals-titanium-recycling-credit-closed-loop-77%-virgin-part-in-market-mix,"Titanium, recycling credit closed loop (77% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002008,Recycling credit metals,recycling-credit-metals-zinc-recycling-credit-closed-loop-77%-virgin-part-in-market-mix,"Zinc, recycling credit closed loop (77% virgin part in market mix)",,Processing,Waste treatment
DETAIL-002010,Upcycling credit plastics,upcycling-credit-plastics-abs-upcycling-credit,"ABS, upcycling credit",,Processing,Waste treatment
DETAIL-002011,Upcycling credit plastics,upcycling-credit-plastics-bio-pe-polyethylene-upcycling-credit,"Bio-PE (Polyethylene), upcycling credit",,Processing,Waste treatment
DETAIL-002012,Upcycling credit plastics,upcycling-credit-plastics-bio-pet-polyethylene-terephthalate-upcycling-credit,"Bio-PET (Polyethylene terephthalate, upcycling credit",,Processing,Waste treatment
DETAIL-002013,Upcycling credit plastics,upcycling-credit-plastics-ca-cellulose-polymers-upcycling-credit,"CA (Cellulose polymers), upcycling credit",,Processing,Waste treatment
DETAIL-002014,Upcycling credit plastics,upcycling-credit-plastics-eva-ethylene-vinyl-acetate-upcycling-credit,"EVA (Ethylene vinyl acetate), upcycling credit",,Processing,Waste treatment
DETAIL-002015,Upcycling credit plastics,upcycling-credit-plastics-ionomer-upcycling-credit,"Ionomer, upcycling credit",,Processing,Waste treatment
DETAIL-002016,Upcycling credit plastics,upcycling-credit-plastics-pa-11-nylon-11-upcycling-credit,"PA-11 (nylon-11), upcycling credit",,Processing,Waste treatment
DETAIL-002017,Upcycling credit plastics,upcycling-credit-plastics-pa-nylons-polyamides-upcycling-credit,"PA (nylons, polyamides), upcycling credit",,Processing,Waste treatment
DETAIL-002018,Upcycling credit plastics,upcycling-credit-plastics-pc-polycarbonate-upcycling-credit,"PC (Polycarbonate), upcycling credit",,Processing,Waste treatment
DETAIL-002019,Upcycling credit plastics,upcycling-credit-plastics-pe-polyethylene-upcycling-credit,"PE (Polyethylene), upcycling credit",,Processing,Waste treatment
DETAIL-002020,Upcycling credit plastics,upcycling-credit-plastics-peek-polyetheretherketone-upcycling-credit,"PEEK (Polyetheretherketone), upcycling credit",,Processing,Waste treatment
DETAIL-002021,Upcycling credit plastics,upcycling-credit-plastics-pet-polyethylene-terephthalate-upcycling-credit,"PET (Polyethylene terephthalate, upcycling credit",,Processing,Waste treatment
DETAIL-002022,Upcycling credit plastics,upcycling-credit-plastics-pha-phb-polyhydroxyalkanoates-upcycling-credit,"PHA, PHB (Polyhydroxyalkanoates), upcycling credit",,Processing,Waste treatment
DETAIL-002023,Upcycling credit plastics,upcycling-credit-plastics-pla-polylactide-upcycling-credit,"PLA (Polylactide), upcycling credit",,Processing,Waste treatment
DETAIL-002024,Upcycling credit plastics,upcycling-credit-plastics-pmma-acrilylic-polymethyl-methacrylate-upcycling-credit,"PMMA (Acrilylic Polymethyl Methacrylate), upcycling credit",,Processing,Waste treatment
DETAIL-002025,Upcycling credit plastics,upcycling-credit-plastics-pom-acetal-polyoxymethylene-upcycling-credit,"POM, Acetal (Polyoxymethylene), upcycling credit",,Processing,Waste treatment
DETAIL-002026,Upcycling credit plastics,upcycling-credit-plastics-pp-polypropylene-upcycling-credit,"PP (Polypropylene), upcycling credit",,Processing,Waste treatment
DETAIL-002027,Upcycling credit plastics,upcycling-credit-plastics-ps-polystyrene-upcycle-credit,"PS (Polystyrene), upcycle credit",,Processing,Waste treatment
DETAIL-002028,Upcycling credit plastics,upcycling-credit-plastics-ptfe-teflon-polytetrafluoroethylene-upcycling-credit,"PTFE, Teflon (Polytetrafluoroethylene), upcycling credit",,Processing,Waste treatment
DETAIL-002029,Upcycling credit plastics,upcycling-credit-plastics-ptt-polyltrimethylene-terephthalate-upcycling-credit,"PTT (Polyltrimethylene terephthalate), upcycling credit",,Processing,Waste treatment
DETAIL-002030,Upcycling credit plastics,upcycling-credit-plastics-pur-polyethane-upcycling-credit,"PUR (Polyethane), upcycling credit",,Processing,Waste treatment
DETAIL-002031,Upcycling credit plastics,upcycling-credit-plastics-pvc-polyvinylchloride-upcycling-credit,"PVC (Polyvinylchloride), upcycling credit",,Processing,Waste treatment
DETAIL-002032,Upcycling credit plastics,upcycling-credit-plastics-starch-based-thermoplastics-tps-upcycling-credit,"Starch-based thermoplastics (TPS), upcycling credit",,Processing,Waste treatment
DETAIL-002033,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Anaerobic digestion (fermentation) cow dung,Processing,Waste treatment
DETAIL-002034,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Anaerobic digestion (fermentation) food waste,Processing,Waste treatment
DETAIL-002035,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Anaerobic digestion (fermentation) garden waste,Processing,Waste treatment
DETAIL-002036,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Composting biodegradable plastics,Processing,Waste treatment
DETAIL-002037,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Composting organic waste (without transport),Processing,Waste treatment
DETAIL-002038,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Landfill (inert waste, not biodegradable)",Processing,Waste treatment
DETAIL-002039,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Landfill organic waste without CH4 emission prevention,Processing,Waste treatment
DETAIL-002040,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Metal scrap stockpile,Processing,Waste treatment
DETAIL-002041,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Plastic waste, collection&sorting",Processing,Waste treatment
DETAIL-002042,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,Scrap separation,Processing,Waste treatment
DETAIL-002043,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (alum.)",Processing,Waste treatment
DETAIL-002044,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (copper)",Processing,Waste treatment
DETAIL-002045,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (iron)",Processing,Waste treatment
DETAIL-002046,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (other non-ferro metals)",Processing,Waste treatment
DETAIL-002047,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (Pb)",Processing,Waste treatment
DETAIL-002048,Waste handling,waste-handling-collection-&-sorting,Collection & sorting,"Scrap, collection&sorting (Stainless st)",Processing,Waste treatment
DETAIL-002092,Egg as ingredient,egg-as-ingredient,,,Food,"Meat, Fish & Eggs"
DETAIL-002104,Aubergine (eggplant),aubergine-eggplant,,,Food,"Meat, Fish & Eggs"
DETAIL-002136,Tree,tree-absorption,Absorption,,Comparison,Comparison
DETAIL-002137,Tree,tree-absorption,Absorption,,Comparison,Comparison
DETAIL-002135,Tree,tree-10-trees-absorption,"10 trees, absorption",,Comparison,Comparison
DETAIL-002138,Air Conditioner,air-conditioner-small,Small,Central,Live,Household
DETAIL-002139,Air Conditioner,air-conditioner-large,Large,Central,Live,Household
DETAIL-002140,Almonds,almonds,,,Food,Side Dish
DETAIL-002141,Apple,apple-average,Average,,Food,Fruits
DETAIL-002142,Apple,apple-local,Local,,Food,Fruits
DETAIL-002143,Apple,apple-shipped,Shipped,,Food,Fruits
DETAIL-002144,Apricot,apricot-fresh,Fresh,,Food,Fruits
DETAIL-002145,Arctic Char,arctic-char-farmed-filleted-frozen,"Farmed, filleted, frozen",,Food,"Meat, Fish & Eggs"
DETAIL-002146,Artichokes,artichokes-fresh,Fresh,,Food,Vegetables
DETAIL-002147,Arugula,arugula,,,Food,Vegetables
DETAIL-002148,Asparagus,asparagus,,,Food,Vegetables
DETAIL-002149,Aubergine,aubergine,,,Food,Vegetables
DETAIL-002150,Swedish,swedish,,,Comparison,Comparison
DETAIL-002152,Avocado,avocado-average,Average,,Food,Vegetables
DETAIL-002153,Avocado,avocado-shipped,Shipped,,Food,Vegetables
DETAIL-002154,Baked Buffalo,baked-buffalo-tofu,Tofu,,Food,Meals
DETAIL-002155,Baked Buffalo,baked-buffalo-chicken,Chicken,,Food,Meals
DETAIL-002156,Baked Buffalo,baked-buffalo-tempeh,Tempeh,,Food,Meals
DETAIL-002157,Banana,banana,,,Food,Fruits
DETAIL-002158,Band Saw,band-saw-14″,14″,,Live,Tools
DETAIL-002159,Barley,barley-dry,Dry,,Food,Ingredients
DETAIL-002160,Bath,bath-gas,Gas,,Live,Cleaning
DETAIL-002161,Bath,bath-solar,Solar,,Live,Cleaning
DETAIL-002162,Bath,bath-electric,Electric,,Live,Cleaning
DETAIL-002163,Beans,beans-fresh,Fresh,,Food,Vegetables
DETAIL-002164,Beans,beans-tin,Tin,,Food,Vegetables
DETAIL-002165,Beef Goulash,beef-goulash,,,Food,Meals
DETAIL-002166,Beef,beef-conventional,Conventional,Cull Cow,Food,"Meat, Fish & Eggs"
DETAIL-002167,Beef,beef-conventional,Conventional,Calf,Food,"Meat, Fish & Eggs"
DETAIL-002168,Beef,beef-organic,Organic,Cull Cow,Food,"Meat, Fish & Eggs"
DETAIL-002169,Beef,beef-organic,Organic,Calf,Food,"Meat, Fish & Eggs"
DETAIL-002170,Beefsteak,beefsteak,,,Food,Meals
DETAIL-002171,Beer,beer-local,Local,,Food,Beverages
DETAIL-002172,Beer,beer-shipped,Shipped,,Food,Beverages
DETAIL-002173,Beetroot,beetroot-fresh,Fresh,,Food,Vegetables
DETAIL-002174,Beetroot,beetroot-glass,Glass,,Food,Vegetables
DETAIL-002175,Beets,beets,,,Food,Vegetables
DETAIL-002176,Bell Peppers,bell-peppers-fresh,Fresh,,Food,Vegetables
DETAIL-002177,Belt Sander,belt-sander-3″,3″,,Live,Tools
DETAIL-002178,Bike,bike-normal,Normal,,Move,Individual
